nombre	id
MV-07.4.E.2_samaniego-rybski-pnasnexus-enviado.pdf	1bNqGaFsJnK7W3dylixtZ6yQ2DBGcRG1d
MV-07.4.E.3_calbucheo-ufug-enviado.pdf	1LuG8hqawybDMAVZgMGMijaEr2-3hQEWr
MV-07.4.E.4_bruning-scientometrics-enviado.pdf	1CEDatvsCDEaBOSN0XoDEwKQBR72iM5MB
MV-07.6.1.1_ioer-forum-2025.pdf	1VF4ht7m7ep1c9UJ47jBaryZSH0bQIx7d
MV-07.6.INT.12_ilus-2025.pdf    1NLftrvJGSxRXrOJICZ4jGH08q2XxCYVU
MV-07.6.1.3_mob40-2022-ufrj.pdf	1Riw0P6Z0jQhyHsLL4pktTGlo7grjJ_nX
MV-07.6.1.5_clas-uchicago-2020.pdf	1eCNv6SqERiR0mQiAoJ7Jy2glhyJ8UFKm
MV-07.6.1.6_foro-ciudad-2019.pdf	1vA4F7WqgayrfUC3ZVk8mMVXgF8T-oRqo
MV-07.6.INT.1_ccs-2023-salvador.pdf	1aq8L9R_BUP33vme-dmPJTRJ0YjvKsKvd
MV-07.6.INT.3_lanet-2019-cartagena.pdf	1Rr_goRivjo3B6t4Ws7hzhe1DfrhNNDlt
MV-07.6.INT.4_netscix-2019-a.pdf	1awkq1E5rcIgICzDmaPnxh5I54LQiEPXx
MV-07.6.INT.5_netscix-2019-b.pdf	1svDuNL6JmTv7uuTRxwaocq7HGF8bFzQ-
MV-07.6.INT.6_erc-2017-paris-a.pdf	1kM2fVtW2Gc0qPiMRVWIYmD_kTDjR1RdP
MV-07.6.INT.7_erc-2017-paris-b.pdf	1ytNr5AuIk4yyUFvEfxJ_O33FhdoK2dMh
MV-07.6.INT.8_ectqg-2017-york.pdf	1VTA945z1nWGMs0gbC0vKaL7P9PwEi-wq
MV-07.6.INT.9_urbanics-3-2017.pdf	1CweRvL6coxlYXknidLiV2LE1bJT7pUvW
MV-07.6.INT.10_urbanics-2-2012.pdf	1MUJG6EOrz3YCf-TqxZ8YYHQop8i9a1MM
MV-07.6.INT.11_pages-2010-valdivia.pdf	1bRNecqABevxq-8jh81QftqUSsP7OrkSN
MV-07.6.NAC.13_socecol-2023-olmue.pdf	1mX2BjkDz_IZYvNBoKxn-6eaWfXIsRjYN
MV-07.6.NAC.1_edu-2024-a.pdf	151l2fLWqUlilr20wpp3RNcVMFp3BwM6k
MV-07.6.NAC.2_edu-2024-b.pdf	1Ta6wGuoP0z2705FXItjprZR1d9eSSfni
MV-07.6.NAC.3_socecol-2022-pucon.pdf	1JCxcPKmE2mMcVnaOBJiCzl0kpQo7UV85
MV-07.6.NAC.4_sochigeo-2018.pdf	1bk1GwFvgFlU3I_Muu-mOXwZCwQJSwhnE
MV-07.6.NAC.5_visdatos-2018.pdf	1RGJq69WaWjzo0rrfVmSe-9n3QF6fBk6-
MV-07.6.NAC.7_socecol-2012.pdf	1NVLBwLQ4XtcvIA0gPZt2Qfob6BLX2Kcf
MV-07.6.NAC.8_socecol-2012-b.pdf	1pHhSH7AjAu1v6OBfMYOU41dIROvGZ5Xp
MV-07.6.NAC.11_sbc-2008-a.pdf	1_oc12W5crXEYJNXnYNwGkk5f7XL4Oc16
MV-07.6.NAC.12_sbc-2008-b.pdf	1dqxeL4sS1CcNJ03FOXspO0nV9ndLtw1X
MV-07.7.1_publons-reporte.pdf	1CiyqNlozaEmxRPfMQHU6jfzLhqugjUao
MV-07.7.2_anid-grupo-estudio.pdf	1aAdi6fjhUsz1HPSVAhbqp465ST2EYdCQ
MV-07.7.3_anid-evaluador.pdf	1vrJEUNNZewCGlUjnm7O6YNGJRIN30nIB
MV-07.8.1_bosque-editor.pdf	1AOOppbCxrJQrz4opQMrYGB8LewksqqWc
MV-07.8.3_discover-cities.pdf	1IXnTlzmThRWIHjfgjwONrl0MtpJoDU2J
MV-07.8.2_plos-complex-systems.pdf	1a32sdpcXklDAYmM6DdojFHjKQrA7WiAk
MV-09.1_explora-informes.pdf	1WHpMQqRAAVEAK7csh0NfPmDSZjfduCQu
MV-09.3_congreso-futuro.pdf	13bgKL5nsriouXtY1liI49OhBgxUNtY1Q
MV-10.1.1_director-instituto.pdf	1w4s-bU8vNf0KGfiukH3q0XFUbJG9i587
MV-10.1.2_prodecano.pdf	1JBo5oD-8-9xvXJC0rtro24aMkbliZBwc
MV-10.1.3_director-carrera.pdf	14GPObWMcI7mFuuMDOJ8FB3EhnxDehd_H
MV-10.1.4_RRII.pdf	1_5YjIOzj1azRXXWaG5mHnBcshoeClaFB
MV-10.1.5_Comite_ECOLAP.pdf	12i1VA7l0grgU0HW_Uay3Iball3KJZu3S
MV-10.4.1_cna-pares-evaluadores.pdf	1dt0gQOC9O5GguqIqwlgsXEnvb02zyI_8
MV-13.1_ioer-fellowship-award.pdf	1pTWuKqfI6OwzH_NGxziYomWtovQ6Oc7e
MV-13.2_capes-print-award.pdf	1WJTS7pUlCohTQyGnidsVO2sN2XQO63nO
MV-15.1_comisiones-doctorales.pdf	1VpVZMk6GKPj5bS77sRflaPJysYDU2sMZ
MV-15.2_coorientacion-brasil.pdf	1MKiopQvjdUYJcPSNGSHo0TFOXAggo0xm
MV-07.7.4_gst-fondecyt.pdf	1zoMEXwk6yyE44oMCetCct4r4C0qjyFx4
MV-15.3_FONDECYT-Postdoc.pdf	1gVPHdjoecyYjp4u5AjoKb1KvCT1qZBg-
MV-09.5_quepasa.pdf	1FPEKqOrsc0pfi5RxJIOjPj8BX7Ylesch
MV-05.1_claustro-doctorado-2024.pdf	1AZLUb40pw1benlHPby3zUrrsWCLP08w5
MV-07.6.INT.2_miyawaki-2022.pdf	1FBijN3MQmLwnFEQjatZJtNaqsNEYeVI0
MV-07.3.4_fondef-d10i1038.pdf	1bybDHUeJhb_q-RHaJK_DKaHycdwkEJgf
